participant,Subject,consent_1,gender_1,age_1,Need_control_1,Need_control_2,Need_control_3,Need_control_4,Need_control_5,Need_control_6,Need_control_7,Need_control_8,Need_control_9,Need_control_10,Need_control_11,Need_control_12,Need_control_13,Need_control_14,Need_control_15,Need_control_16,Need_control_17,Need_control_18,Need_control_19,Need_control_20,CQ,Video,Prediction,Control,Anthro_1,Anthro_2,Anthro_3,Anthro_4,Anthro_5,Anthro_6,Anthro_7,Anthro_8,Anthro_9,Anthro_10,Anthro_11,Anthro_12,Anthro_13,Anthro_14,Anthro_15,Anthro_16,Anthro_17,Anthro_18,Anthro_19,Anthro_20,Anthro_21,Anthro_22,Anthro_23,video1_1,predict1_1,control1_1,anthro1_1,anthro1_2,anthro1_3,anthro1_4,anthro1_5,anthro1_6,anthro1_7,anthro1_8,anthro1_9,anthro1_10,anthro1_11,anthro1_13,anthro1_14,anthro1_15,anthro1_16,anthro1_17,anthro1_18,anthro1_19,anthro1_20,anthro1_21,anthro1_22,anthro1_23,anthro1_24,video2_1,predict2_1,control2_1,anthro2_1,anthro2_2,anthro2_3,anthro2_4,anthro2_5,anthro2_6,anthro2_7,anthro2_8,anthro2_9,anthro2_10,anthro2_11,anthro2_12,anthro2_13,anthro2_14,anthro2_15,anthro2_16,anthro2_17,anthro2_18,anthro2_19,anthro2_20,anthro2_21,anthro2_22,anthro2_23,video3_1,predict3_1,control3_1,anthro3_1,anthro3_2,anthro3_3,anthro3_4,anthro3_5,anthro3_6,anthro3_7,anthro3_8,anthro3_9,anthro3_10,anthro3_11,anthro3_12,anthro3_13,anthro3_14,anthro3_15,anthro3_16,anthro3_17,anthro3_18,anthro3_19,anthro3_20,anthro3_21,anthro3_22,anthro3_23,video4_1,predict4_1,control4_1,anthro4_1,anthro4_2,anthro4_3,anthro4_4,anthro4_5,anthro4_6,anthro4_7,anthro4_8,anthro4_9,anthro4_10,anthro4_11,anthro4_12,anthro4_13,anthro4_14,anthro4_15,anthro4_16,anthro4_17,anthro4_18,anthro4_19,anthro4_20,anthro4_21,anthro4_22,anthro4_23,comments_1,TIME_start,TIME_end,TIME_total
s.d39af63b-97dc-406f-807d-44d0efc4c950.txt,3,1,2,22,7,3,5,5,5,3,5,7,7,6,5,6,7,7,6,6,7,4,6,7,3,2,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d39af63b-97dc-406f-807d-44d0efc4c950.txt,3,1,2,22,7,3,5,5,5,3,5,7,7,6,5,6,7,7,6,6,7,4,6,7,3,3,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,1,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.3b8a4c19-c365-4cce-b9fd-a57d6e277039.txt,4,1,2,45,6,3,6,4,5,6,4,6,6,5,4,2,6,4,3,6,5,3,5,5,3,4,5,2,1,3,1,3,3,3,3,1,2,1,1,4,2,5,2,7,5,2,5,5,5,6,5,,3,3,1,1,1,1,1,1,2,1,1,1,2,1,2,4,2,5,3,1,5,6,4,5,2,,2,6,5,4,3,5,3,6,5,6,6,3,5,6,5,5,6,4,4,6,6,2,5,2,2,,5,5,2,2,1,1,3,1,5,6,5,1,5,6,5,5,5,4,4,6,6,2,2,2,2,,5,2,1,3,1,3,3,3,3,1,2,1,1,4,2,5,2,7,5,2,5,5,5,6,5,,2023-03-23-16-40,2023-03-23-16-57,17
s.3b8a4c19-c365-4cce-b9fd-a57d6e277039.txt,4,1,2,45,6,3,6,4,5,6,4,6,6,5,4,2,6,4,3,6,5,3,5,5,3,1,3,3,1,1,1,1,1,1,2,1,1,1,2,1,2,4,2,5,3,1,5,6,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.3b8a4c19-c365-4cce-b9fd-a57d6e277039.txt,4,1,2,45,6,3,6,4,5,6,4,6,6,5,4,2,6,4,3,6,5,3,5,5,3,2,2,6,5,4,3,5,3,6,5,6,6,3,5,6,5,5,6,4,4,6,6,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.3b8a4c19-c365-4cce-b9fd-a57d6e277039.txt,4,1,2,45,6,3,6,4,5,6,4,6,6,5,4,2,6,4,3,6,5,3,5,5,3,3,5,5,2,2,1,1,3,1,5,6,5,1,5,6,5,5,5,4,4,6,6,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d6bc1248-f7f0-447e-8b92-5b63e70dda01.txt,5,1,1,38,6,4,6,7,6,5,5,6,6,3,6,7,7,7,6,3,7,5,1,3,1,4,3,5,1,1,1,1,1,1,5,4,5,1,1,6,2,4,2,5,3,5,2,1,5,1,5,,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,6,2,,4,3,1,5,2,1,1,1,5,5,1,1,5,6,2,5,1,1,5,3,1,1,1,1,1,,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,2,,3,5,1,1,1,1,1,1,5,4,5,1,1,6,2,4,2,5,3,5,2,1,5,1,5,,2023-04-01-15-47,2023-04-01-16-00,13
s.d6bc1248-f7f0-447e-8b92-5b63e70dda01.txt,5,1,1,38,6,4,6,7,6,5,5,6,6,3,6,7,7,7,6,3,7,5,1,3,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d6bc1248-f7f0-447e-8b92-5b63e70dda01.txt,5,1,1,38,6,4,6,7,6,5,5,6,6,3,6,7,7,7,6,3,7,5,1,3,1,2,4,3,1,5,2,1,1,1,5,5,1,1,5,6,2,5,1,1,5,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d6bc1248-f7f0-447e-8b92-5b63e70dda01.txt,5,1,1,38,6,4,6,7,6,5,5,6,6,3,6,7,7,7,6,3,7,5,1,3,1,3,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.49827a5e-4e55-44eb-b2ec-d3fbc110adfd.txt,6,1,2,56,3,4,4,5,5,5,3,5,5,2,5,4,4,3,3,5,4,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,2023-04-05-13-21,2023-04-05-13-28,7
s.49827a5e-4e55-44eb-b2ec-d3fbc110adfd.txt,6,1,2,56,3,4,4,5,5,5,3,5,5,2,5,4,4,3,3,5,4,4,4,4,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.49827a5e-4e55-44eb-b2ec-d3fbc110adfd.txt,6,1,2,56,3,4,4,5,5,5,3,5,5,2,5,4,4,3,3,5,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.49827a5e-4e55-44eb-b2ec-d3fbc110adfd.txt,6,1,2,56,3,4,4,5,5,5,3,5,5,2,5,4,4,3,3,5,4,4,4,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.aacc51ba-be61-4a7b-b9bd-7dc1b0a71c46.txt,7,1,2,22,6,3,2,5,4,5,6,6,7,5,1,3,6,5,6,6,6,7,7,4,3,4,6,2,1,1,2,2,2,1,4,1,1,1,1,1,2,5,1,7,1,1,2,4,5,5,3,,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,5,3,1,1,4,4,4,4,,6,2,1,1,1,2,1,1,1,1,1,1,1,3,1,5,1,6,2,1,1,4,5,5,4,,6,2,1,2,1,1,1,1,1,1,1,1,1,2,1,5,1,6,1,1,1,4,5,5,3,,6,2,1,1,2,2,2,1,4,1,1,1,1,1,2,5,1,7,1,1,2,4,5,5,3,NA,2023-03-29-14-03,2023-03-29-14-21,18
s.aacc51ba-be61-4a7b-b9bd-7dc1b0a71c46.txt,7,1,2,22,6,3,2,5,4,5,6,6,7,5,1,3,6,5,6,6,6,7,7,4,3,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,5,3,1,1,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.aacc51ba-be61-4a7b-b9bd-7dc1b0a71c46.txt,7,1,2,22,6,3,2,5,4,5,6,6,7,5,1,3,6,5,6,6,6,7,7,4,3,2,6,2,1,1,1,2,1,1,1,1,1,1,1,3,1,5,1,6,2,1,1,4,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.aacc51ba-be61-4a7b-b9bd-7dc1b0a71c46.txt,7,1,2,22,6,3,2,5,4,5,6,6,7,5,1,3,6,5,6,6,6,7,7,4,3,3,6,2,1,2,1,1,1,1,1,1,1,1,1,2,1,5,1,6,1,1,1,4,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d9933b54-566d-4834-b614-0185a62db035.txt,8,1,1,37,6,6,6,7,5,2,7,7,7,7,7,7,3,6,6,7,5,5,6,7,3,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,7,,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,,7,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,5,6,4,6,,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,7,5,7,,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,1,7,,2023-03-29-08-00,2023-03-29-08-14,14
s.d9933b54-566d-4834-b614-0185a62db035.txt,8,1,1,37,6,6,6,7,5,2,7,7,7,7,7,7,3,6,6,7,5,5,6,7,3,1,7,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d9933b54-566d-4834-b614-0185a62db035.txt,8,1,1,37,6,6,6,7,5,2,7,7,7,7,7,7,3,6,6,7,5,5,6,7,3,2,7,5,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1,5,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d9933b54-566d-4834-b614-0185a62db035.txt,8,1,1,37,6,6,6,7,5,2,7,7,7,7,7,7,3,6,6,7,5,5,6,7,3,3,6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,6,7,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.ef9238aa-51e7-42a2-84b5-3725d9bd394e.txt,9,1,2,23,3,5,4,3,5,7,5,6,7,3,5,4,7,3,5,1,7,5,3,3,3,4,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,5,5,5,7,7,7,7,,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,6,1,6,7,7,7,7,,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,6,1,6,7,7,7,7,,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,5,1,6,7,7,7,7,,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,5,5,5,7,7,7,7,,2023-03-26-16-03,2023-03-26-16-18,15
s.ef9238aa-51e7-42a2-84b5-3725d9bd394e.txt,9,1,2,23,3,5,4,3,5,7,5,6,7,3,5,4,7,3,5,1,7,5,3,3,3,1,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,6,1,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.ef9238aa-51e7-42a2-84b5-3725d9bd394e.txt,9,1,2,23,3,5,4,3,5,7,5,6,7,3,5,4,7,3,5,1,7,5,3,3,3,2,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,6,1,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.ef9238aa-51e7-42a2-84b5-3725d9bd394e.txt,9,1,2,23,3,5,4,3,5,7,5,6,7,3,5,4,7,3,5,1,7,5,3,3,3,3,3,3,1,1,1,1,1,1,5,5,1,1,1,5,1,6,1,5,5,1,6,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d1c67293-7b00-474d-a436-cd200d1a07d5.txt,10,1,2,23,5,4,3,4,5,4,3,4,3,4,5,4,3,4,5,4,4,5,4,4,2,4,5,3,5,3,4,6,4,3,4,4,6,4,3,6,2,5,3,5,4,3,5,4,4,5,6,,5,2,5,4,2,1,5,3,5,3,4,6,4,1,2,4,7,5,4,3,5,4,3,4,6,,4,4,5,4,2,4,4,6,5,4,3,4,3,2,3,5,6,5,7,4,3,4,2,6,5,,4,4,4,5,3,4,5,5,4,3,2,5,5,4,3,4,5,4,3,2,3,5,5,4,3,,5,3,5,3,4,6,4,3,4,4,6,4,3,6,2,5,3,5,4,3,5,4,4,5,6,no,2023-03-26-17-08,2023-03-26-17-21,13
s.d1c67293-7b00-474d-a436-cd200d1a07d5.txt,10,1,2,23,5,4,3,4,5,4,3,4,3,4,5,4,3,4,5,4,4,5,4,4,2,1,5,2,5,4,2,1,5,3,5,3,4,6,4,1,2,4,7,5,4,3,5,4,3,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d1c67293-7b00-474d-a436-cd200d1a07d5.txt,10,1,2,23,5,4,3,4,5,4,3,4,3,4,5,4,3,4,5,4,4,5,4,4,2,2,4,4,5,4,2,4,4,6,5,4,3,4,3,2,3,5,6,5,7,4,3,4,2,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.d1c67293-7b00-474d-a436-cd200d1a07d5.txt,10,1,2,23,5,4,3,4,5,4,3,4,3,4,5,4,3,4,5,4,4,5,4,4,2,3,4,4,4,5,3,4,5,5,4,3,2,5,5,4,3,4,5,4,3,2,3,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.53ac2500-71e9-462b-b28b-21d313c8afac.txt,11,1,2,51,4,1,3,3,4,1,7,7,7,3,5,6,7,4,3,7,2,5,5,5,3,4,7,3,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,6,4,4,1,,7,3,1,1,1,1,1,1,5,1,1,1,1,5,1,5,1,1,5,1,1,6,4,6,1,,7,3,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,3,5,1,1,7,4,5,1,,7,3,1,1,1,1,1,1,5,1,1,1,1,5,1,5,1,1,1,1,1,6,4,5,1,,7,3,1,1,1,1,1,1,1,1,1,1,1,5,1,5,1,5,5,1,1,6,4,4,1,,2023-03-20-17-52,2023-03-20-18-21,29
s.53ac2500-71e9-462b-b28b-21d313c8afac.txt,11,1,2,51,4,1,3,3,4,1,7,7,7,3,5,6,7,4,3,7,2,5,5,5,3,1,7,3,1,1,1,1,1,1,5,1,1,1,1,5,1,5,1,1,5,1,1,6,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s.53ac2500-71e9-462b-b28b-21d313c8afac.txt,11,1,2,51,4,1,3,3,4,1,7,7,7,3,5,6,7,4,3,7,2,5,5,5,3,2,7,3,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,3,5,1,1,7,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
